Passenger_ID,Arrival_Time,Ticket_Type,Counter_Wait_Min,Counter_Service_Min,Gate_Wait_Min,Gate_Service_Min,Boarding_Wait_Min,Total_Time_Min
P380,08:55:17,Online,0.0,0.0,0.05,1.18,1.0,2.23
P381,08:55:30,Online,0.0,0.0,0.05,0.15,1.0,1.2
P382,08:56:01,Online,0.0,0.0,0.41,0.21,7.46,8.08
P383,08:56:14,Online,0.0,0.0,0.89,0.82,6.66,8.37
P384,08:56:16,Online,0.0,0.0,0.05,0.06,1.16,1.27
P385,08:56:26,Online,0.0,0.0,0.14,0.43,3.73,4.3
P386,08:56:31,Normal,0.0,0.47,0.26,0.44,6.94,8.11
P387,08:56:46,Normal,0.23,2.48,1.22,0.51,17.27,21.7
P388,08:57:08,Online,0.0,0.0,0.13,0.08,12.16,12.37
P389,08:57:44,Online,0.0,0.0,0.15,0.17,7.39,7.71
P390,08:58:05,Online,0.0,0.0,0.45,0.41,5.91,6.77
P391,08:58:14,Online,0.0,0.0,0.33,0.09,1.42,1.83
P392,08:58:28,Online,0.0,0.0,0.29,0.1,18.04,18.43
P393,08:58:44,Normal,0.0,1.16,0.55,0.17,4.31,6.2
P394,08:59:25,Normal,0.06,0.99,0.14,0.43,1.27,2.89
P395,08:59:27,Online,0.0,0.0,0.12,0.14,1.16,1.42
P396,08:59:31,Online,0.0,0.0,0.43,0.15,2.14,2.72
P397,08:59:32,Normal,0.37,0.86,0.07,0.75,2.29,4.33
P398,08:59:42,Normal,0.77,1.97,0.86,0.34,8.23,12.17
P399,08:59:48,Online,0.0,0.0,0.95,0.63,1.6,3.18
P400,08:59:54,Online,0.0,0.0,0.05,0.45,2.39,2.89
